Subject,Start Date,Start Time,End Date,End Time,Description,Location
wyk - Aula A,16/01/2019,08:00,16/01/2019,09:40,prof. dr hab. Buk Halina,412 A
wyk - Sprawozdawczosc finansowa,16/01/2019,09:50,16/01/2019,11:30,prof. dr hab. Buk Halina,undefined
wyk - Aula @,16/01/2019,11:40,16/01/2019,13:20,prof. dr hab. Harasim Janina,undefined
wyk - Analiza finansowa,16/01/2019,13:30,16/01/2019,15:10,dr Poniatowska Lucyna,undefined
cwi - Instrumenty opodatkowania posredniego ludnosci i podmiotow gospodarczych,17/01/2019,13:30,17/01/2019,15:10,mgr Sygut Edyta,214 B
cwi - Sprawozdawczosc finansowa,17/01/2019,15:20,17/01/2019,17:00,dr Emerling Izabela,227 A
wyk - Aula A,18/01/2019,08:00,18/01/2019,09:40,dr Jarczok-Guzy Magdalena,213 B
wyk - Instrumenty opodatkowania posredniego ludnosci i podmiotow gospodarczych,18/01/2019,09:50,18/01/2019,11:30,dr Ciupek Bozena,undefined
cwi - Aula A,18/01/2019,11:40,18/01/2019,13:20,mgr Swiatek L「kasz,undefined
wyk - Prawo instrumentow finansowych,21/01/2019,15:20,21/01/2019,16:05,prof. UE dr hab. Witosz Aleksander,228 A
"undefined - Projekt: ""Blisko-Miedzynarodowo-Przez cale zycie,22/01/2019,08:00,22/01/2019,18:50,n/z n/z,n/z"
wyk - Aula A,23/01/2019,08:00,23/01/2019,09:40,prof. dr hab. Buk Halina,412 A
wyk - Sprawozdawczosc finansowa,23/01/2019,09:50,23/01/2019,11:30,prof. dr hab. Buk Halina,412 A
wyk - Aula @,23/01/2019,11:40,23/01/2019,13:20,prof. dr hab. Harasim Janina,335 A
wyk - Analiza finansowa,23/01/2019,13:30,23/01/2019,14:15,prof. UE dr hab. Koczur Wieslaw,undefined
wyk - Aula A,23/01/2019,14:25,23/01/2019,15:10,dr Poniatowska Lucyna,undefined
wyk - Finanse miﾄ囘zynarodowe,23/01/2019,15:20,23/01/2019,16:05,prof. UE dr hab. Pfaff Jozef,undefined
wyk - Aula B,24/01/2019,09:50,24/01/2019,11:30,dr Lubicz-Posochowska Aleksandra,418 A
wyk - Prawo reklamy,24/01/2019,11:40,24/01/2019,13:20,dr Kozlowska-Makos Danuta,214 B
cwi - Planowanie finansowe,24/01/2019,13:30,24/01/2019,15:10,mgr Sygut Edyta,227 A
cwi - Instrumenty opodatkowania posredniego ludnosci i podmiotow gospodarczych,24/01/2019,15:20,24/01/2019,17:00,dr Emerling Izabela,undefined
wyk - Aula A,25/01/2019,08:00,25/01/2019,09:40,dr Jarczok-Guzy Magdalena,213 B
wyk - Instrumenty opodatkowania posredniego ludnosci i podmiotow gospodarczych,25/01/2019,09:50,25/01/2019,11:30,dr Ciupek Bozena,411 A
cwi - Aula A,25/01/2019,11:40,25/01/2019,13:20,mgr Swiatek L「kasz,undefined
cwi - Instrumenty opodatkowania bezposredniego ludnosci i podmiotow gospodarczych,25/01/2019,15:20,25/01/2019,17:00,dr Emerling Izabela,undefined
wyk - Aula B,28/01/2019,09:50,28/01/2019,10:35,dr Lubicz-Posochowska Aleksandra,418 A
wyk - Prawo reklamy,28/01/2019,11:40,28/01/2019,12:25,dr Kozlowska-Makos Danuta,214 B
cwi - Planowanie finansowe,28/01/2019,13:30,28/01/2019,15:10,mgr Sygut Edyta,227 A
cwi - Instrumenty opodatkowania posredniego ludnosci i podmiotow gospodarczych,28/01/2019,15:20,28/01/2019,17:00,dr Emerling Izabela,undefined
wyk - Aula A,29/01/2019,08:00,29/01/2019,09:40,dr Jarczok-Guzy Magdalena,213 B
wyk - Instrumenty opodatkowania posredniego ludnosci i podmiotow gospodarczych,29/01/2019,09:50,29/01/2019,11:30,dr Ciupek Bozena,411 A
cwi - Aula A,29/01/2019,11:40,29/01/2019,13:20,mgr Swiatek L「kasz,undefined
cwi - Instrumenty opodatkowania bezposredniego ludnosci i podmiotow gospodarczych,29/01/2019,15:20,29/01/2019,16:05,dr Emerling Izabela,undefined
